bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
1,Vladimir,Bard,KogMaw,MasterYi,Viktor,Graves,Xayah,Darius,Zed,Thresh
1,Draven,Irelia,Nidalee,Kayle,Shaco,Malphite,Morgana,Hecarim,Yasuo,Riven
1,Tristana,Kayn,Nami,Rumble,Kassadin,Cassiopeia,Thresh,Jayce,Jax,Ashe
1,Maokai,Brand,Twitch,Orianna,DrMundo,Malzahar,Warwick,Thresh,Riven,Ashe
1,Warwick,Twitch,Janna,Draven,Syndra,Sona,JarvanIV,Kayn,Kassadin,Caitlyn
1,Janna,Kayn,Jax,Veigar,Vayne,Riven,Sivir,Ekko,Olaf,Alistar
1,Heimerdinger,Teemo,Thresh,Tristana,Maokai,Blitzcrank,MissFortune,Fiora,Velkoz,Warwick
1,Gnar,Xayah,Soraka,Malzahar,Gragas,Viktor,LeeSin,Rakan,Vayne,Maokai
0,Nautilus,Maokai,Tristana,Nami,Velkoz,Twitch,JarvanIV,Lux,Kayn,Brand
0,Ivern,MasterYi,Nasus,Kalista,Diana,Shaco,Varus,Heimerdinger,Lux,Garen
0,Lux,Lucian,Zyra,Maokai,Nautilus,Leblanc,Kayle,Fizz,Tristana,Leona
1,Ashe,TwistedFate,Rammus,Yasuo,Blitzcrank,Bard,Fiora,Amumu,Xerath,MissFortune
1,Gragas,Fizz,Garen,Sona,Ashe,Sivir,Janna,Zed,MasterYi,XinZhao
1,Zyra,Leblanc,RekSai,Jax,Caitlyn,Annie,LeeSin,Jhin,Ezreal,Akali
0,Janna,Ahri,Xayah,Riven,Kayn,Lux,LeeSin,Syndra,Jax,Twitch
1,Tryndamere,Katarina,Tristana,Amumu,Soraka,Janna,LeeSin,Sivir,Ahri,Gnar
0,Vayne,Janna,Azir,XinZhao,Riven,Fizz,Sejuani,Jhin,Soraka,Mordekaiser
1,Fiora,Ezreal,Janna,Draven,Ekko,Chogath,Sona,Tryndamere,Orianna,Jinx
0,Jinx,LeeSin,Taric,Ekko,Irelia,Swain,Teemo,Brand,JarvanIV,Lucian
0,RekSai,Corki,JarvanIV,Tristana,Rakan,Draven,Nami,Gangplank,Khazix,TwistedFate
0,Syndra,DrMundo,Amumu,Leona,Draven,Lulu,Vayne,Graves,Zed,Teemo
0,Zed,Janna,Gragas,Twitch,Maokai,Diana,Garen,Jhin,Taric,Heimerdinger
0,KogMaw,Lulu,Leblanc,Graves,Urgot,Tryndamere,Chogath,Jinx,Janna,TwistedFate
1,Darius,Kalista,Thresh,TwistedFate,Fiddlesticks,Xayah,Janna,Gnar,Orianna,Nocturne
0,Xayah,Evelynn,Fizz,Tryndamere,Veigar,Xerath,Gnar,Vayne,Kassadin,Warwick
